Sample_ID,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance,Dataset,Split_Seed,Predicted_Stiffness,Residual,Absolute_Error,Squared_Error,Absolute_Percent_Error,Ensemble_Std,Member_Prediction_Min,Member_Prediction_Max,Member_Prediction_Range,Stiffness_Bin
randomness_0.8438,0.8438,0.0117630645066766,120.0,250.0,0.0350140056022409,250.0,1.0,0.0,4.166666507720947,1.3804185390472412,4.166666507720947,1.3804185390472412,136.7197265625,50.45273971557617,Test,11,0.007902451697736979,-0.0038606128089396213,0.0038606128089396213,1.4904331260548673e-05,32.81978779210448,0.0003564267815377536,0.0073423539288342,0.008464503102004528,0.0011221491731703281,Q2
randomness_0.2773,0.2773,0.0357529539614916,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.255708932876587,4.958677768707275,1.255708932876587,136.3989715576172,50.92647171020508,Test,11,0.037764228880405426,0.0020112749189138274,0.0020112749189138274,4.045226799451823e-06,5.625479005399412,0.00036693405388023694,0.03726981580257416,0.03830487281084061,0.001035057008266449,Q4
randomness_0.0671,0.0671,0.0400081768631935,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3804868459701538,4.942148685455322,1.3804868459701538,135.86746215820312,50.86079406738281,Test,11,0.03905850052833557,-0.0009496763348579296,0.0009496763348579296,9.018851409891904e-07,2.373705600495901,0.0004010801044007744,0.03854589909315109,0.039555005729198456,0.0010091066360473633,Q5
randomness_0.3904,0.3904,0.0391915085534877,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3298853635787964,4.909090995788574,1.3298853635787964,136.00816345214844,50.50735855102539,Test,11,0.034417562931776044,-0.004773945621711656,0.004773945621711656,2.279055679905989e-05,12.181071354261041,0.00020403694275059398,0.0341063030064106,0.03472180292010307,0.0006154999136924744,Q5
randomness_0.6977,0.6977,0.0221372571645018,121.0,265.0,0.03650137741046832,265.0,1.0,0.0,4.380165100097656,1.4785306453704834,4.380165100097656,1.4785306453704834,136.1837158203125,51.435874938964844,Test,11,0.017625319212675093,-0.004511937951826708,0.004511937951826708,2.0357584081134192e-05,20.381648540731714,0.00033003924412212845,0.01708628609776497,0.018037088215351105,0.0009508021175861359,Q2
randomness_0.6456,0.6456,0.0136541039214026,121.0,268.0,0.03691460055096419,268.0,1.0,0.0,4.429751873016357,1.2780824899673462,4.429751873016357,1.2780824899673462,136.63014221191406,50.46540069580078,Test,11,0.016552438586950304,0.0028983346655477027,0.0028983346655477027,8.400343833515514e-06,21.22683906781028,0.0005433986993515074,0.015872465446591377,0.017433369532227516,0.001560904085636139,Q2
randomness_0.4925,0.4925,0.0303699512159228,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.3546662330627441,4.760330677032471,1.3546662330627441,136.5926513671875,51.0213508605957,Test,11,0.030248058959841728,-0.00012189225608107146,0.00012189225608107146,1.4857722092533503e-08,0.4013580898251954,0.0003303394267774156,0.029741967096924782,0.03065137006342411,0.0009094029664993286,Q3
randomness_0.0440,0.044,0.0395673248916864,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.2509677410125732,4.826446056365967,1.2509677410125732,136.09030151367188,50.78190612792969,Test,11,0.03493065237998962,-0.004636672511696777,0.004636672511696777,2.1498731980724494e-05,11.71843819209269,0.00038352730108235836,0.03446274623274803,0.035454243421554565,0.0009914971888065338,Q5
randomness_0.2823,0.2823,0.0340432453900576,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.3300395011901855,4.760330677032471,1.3300395011901855,136.05697631835938,50.560508728027344,Test,11,0.03236319497227669,-0.0016800504177809095,0.0016800504177809095,2.8225694062858085e-06,4.935047756262309,0.00036724557047287666,0.03186629340052605,0.03285352885723114,0.0009872354567050934,Q4
randomness_0.3113,0.3113,0.0344449218887005,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.312983512878418,4.942148685455322,1.312983512878418,135.61434936523438,50.934120178222656,Test,11,0.037014291435480115,0.0025693695467796165,0.0025693695467796165,6.601659867918492e-06,7.459356578255115,9.715281532700405e-05,0.036932654678821564,0.03720368444919586,0.0002710297703742981,Q4
randomness_0.4424,0.4424,0.0305150995962322,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.4024771451950073,4.7272725105285645,1.4024771451950073,135.3053436279297,51.87388610839844,Test,11,0.029422353580594064,-0.0010927460156381352,0.0010927460156381352,1.1940938546930198e-06,3.581000980160852,0.0003474455461850614,0.028868472203612328,0.02979493886232376,0.0009264666587114334,Q3
