Dataset,Sample_Index,Sample_ID,Actual_Stiffness,Ensemble_Mean,Ensemble_Median,Residual,Absolute_Error,Member_Count,Member_Std,Member_Standard_Error,Member_Min,Member_Max,Member_Range,Relative_Member_Std_Percent,Mean_CI_80_Lower,Mean_CI_80_Upper,Mean_CI_80_Half_Width,Actual_Within_Mean_CI_80,Mean_CI_90_Lower,Mean_CI_90_Upper,Mean_CI_90_Half_Width,Actual_Within_Mean_CI_90,Mean_CI_95_Lower,Mean_CI_95_Upper,Mean_CI_95_Half_Width,Actual_Within_Mean_CI_95,Member_Seed_11_Prediction,Member_Seed_11_Deviation,Member_Seed_42_Prediction,Member_Seed_42_Deviation,Member_Seed_73_Prediction,Member_Seed_73_Deviation,Member_Seed_101_Prediction,Member_Seed_101_Deviation,Member_Seed_202_Prediction,Member_Seed_202_Deviation
Validation,0,Validation_0000,0.03225037083029747,0.027684395015239716,0.027727873995900154,-0.004565975815057754,0.004565975815057754,5,0.000145018744476026,6.485435413201325e-05,0.027459947392344475,0.027848396450281143,0.0003884490579366684,0.5238284759200843,0.027584959912584472,0.02778383011789496,9.943510265524326e-05,False,0.027546135468804092,0.02782265456167534,0.00013825954643562288,False,0.027504330461159122,0.02786445956932031,0.0001800645540805928,False,0.027741940692067146,5.754567682743003e-05,0.027848396450281143,0.00016400143504142692,0.027459947392344475,-0.00022444762289524148,0.02764381654560566,-4.0578469634056785e-05,0.027727873995900154,4.3478980660437844e-05
Validation,1,Validation_0001,0.015622043050825596,0.023150017857551573,0.023209262639284134,0.0075279748067259775,0.0075279748067259775,5,0.0007964917885388963,0.00035620195653867195,0.021998438984155655,0.02411607839167118,0.002117639407515526,3.44056662694573,0.02260388678295441,0.023696148932148737,0.0005461310745971628,False,0.02239064986122134,0.023909385853881807,0.0007593679963302325,False,0.0221610426788579,0.024138993036245247,0.0009889751786936747,False,0.02411607839167118,0.0009660605341196074,0.021998438984155655,-0.0011515788733959184,0.02284797839820385,-0.0003020394593477235,0.023578330874443054,0.0004283130168914809,0.023209262639284134,5.924478173256059e-05
Validation,2,Validation_0002,0.02059568092226982,0.017388030886650085,0.01734498143196106,-0.0032076500356197357,0.0032076500356197357,5,0.0002759580318858594,0.00012341218364676722,0.017104288563132286,0.01780843362212181,0.0007041450589895248,1.5870574056647793,0.01719881455238755,0.017577247220912622,0.000189216334262538,False,0.017124935019549172,0.017651126753751,0.0002630958671009149,False,0.017045383733442245,0.017730678039857926,0.0003426471532078387,False,0.01780843362212181,0.00042040273547172546,0.017197823151946068,-0.00019020773470401764,0.017484627664089203,9.659677743911743e-05,0.01734498143196106,-4.304945468902588e-05,0.017104288563132286,-0.0002837423235177994
Validation,3,Validation_0003,0.007898774929344654,0.0035905908793210984,0.003511085407808423,-0.004308184050023556,0.004308184050023556,5,0.00036845809525282787,0.00016477946956908312,0.0031870093662291765,0.004072344861924648,0.0008853354956954718,10.261767704442427,0.0033379499627416757,0.003843231795900521,0.0002526409165794229,False,0.0032393062966676388,0.0039418754619745585,0.0003512845826534597,False,0.003133089727598928,0.004048092031043269,0.0004575011517221705,False,0.0031870093662291765,-0.0004035815130919219,0.0033250257838517427,-0.00026556509546935567,0.003511085407808423,-7.950547151267537e-05,0.004072344861924648,0.00048175398260354987,0.003857488976791501,0.00026689809747040263
Validation,4,Validation_0004,0.005326441489160061,0.003029663092456758,0.003332198830321431,-0.0022967783967033028,0.0022967783967033028,5,0.0010927524923513275,0.0004886937710959774,0.0014618608402088284,0.004366555251181126,0.002904694410972297,36.06844916426707,0.0022803947365188804,0.003778931448394636,0.0007492683559378776,False,0.0019878428470479475,0.004071483337865569,0.0010418202454088106,False,0.0016728316637566782,0.004386494521156838,0.00135683142870008,False,0.0014618608402088284,-0.0015678022522479297,0.0025263812858611345,-0.0005032818065956236,0.004366555251181126,0.0013368921587243675,0.0034613192547112703,0.0004316561622545122,0.003332198830321431,0.00030253573786467305
Validation,5,Validation_0005,0.006393413059413433,0.0084675844758749,0.008131898008286953,0.0020741714164614674,0.0020741714164614674,5,0.000868208290658683,0.00038827455130834216,0.00762742105871439,0.009634548798203468,0.0020071277394890785,10.25331714295034,0.007872279497751529,0.009062889453998272,0.0005953049781233712,False,0.00763984262145579,0.00929532633029401,0.0008277418544191109,False,0.007389561498421982,0.009545607453327819,0.0010780229774529182,False,0.007825986482203007,-0.0006415979936718937,0.009634548798203468,0.0011669643223285679,0.008131898008286953,-0.0003356864675879475,0.00762742105871439,-0.0008401634171605107,0.009118068031966686,0.0006504835560917858
Validation,6,Validation_0006,0.009563346393406391,0.011850211769342422,0.012002632953226566,0.0022868653759360313,0.0022868653759360313,5,0.0008418522979587596,0.0003764877930500388,0.010902998968958855,0.012922551482915878,0.0020195525139570236,7.10411184496051,0.011272978322931499,0.012427445215753346,0.0005772334464109244,False,0.011047597477637484,0.01265282606104736,0.0008026142917049377,False,0.01080491407916192,0.012895509459522924,0.001045297690180502,False,0.010902998968958855,-0.0009472128003835678,0.012922551482915878,0.0010723397135734558,0.012002632953226566,0.00015242118388414383,0.011108947917819023,-0.0007412638515233994,0.01231392752379179,0.0004637157544493675
Validation,7,Validation_0007,0.027857331559062004,0.0243849728256464,0.024416878819465637,-0.0034723587334156043,0.0034723587334156043,5,0.00037647975812847686,0.00016836686626559065,0.02396250329911709,0.024954939261078835,0.0009924359619617462,1.5439006671047912,0.024126831689944353,0.024643113961348447,0.00025814113570204664,False,0.024026040462874213,0.024743905188418586,0.0003589323627721881,False,0.02391751146392581,0.02485243418736699,0.00046746136172059154,False,0.02396250329911709,-0.00042246952652931144,0.024142799898982048,-0.00024217292666435172,0.024447742849588394,6.277002394199441e-05,0.024416878819465637,3.190599381923745e-05,0.024954939261078835,0.0005699664354324348
Validation,8,Validation_0008,0.0037341017741709948,0.0005515243334230036,0.00040459554293192923,-0.0031825774407479913,0.0031825774407479913,5,0.00041775564085158584,0.0001868260021856268,0.0001656945387367159,0.001246403087861836,0.00108070854912512,75.7456408602699,0.0002650815347146507,0.0008379671321313564,0.00028644279870835285,False,0.00015323992106131955,0.0009498087457846876,0.000398284412361684,False,3.281219413104675e-05,0.0010702364727149605,0.0005187121392919568,False,0.00040459554293192923,-0.00014692879049107435,0.0001656945387367159,-0.00038582979468628766,0.00034470963873900473,-0.00020681469468399884,0.0005962188588455319,4.4694525422528364e-05,0.001246403087861836,0.0006948787544388324
Validation,9,Validation_0009,0.009320550598204136,0.007669552974402904,0.007729287259280682,-0.0016509976238012316,0.0016509976238012316,5,0.0006951392609344003,0.0003108757282556566,0.006978199817240238,0.008752644993364811,0.0017744451761245728,9.06362161203429,0.007192916357388689,0.00814618959141712,0.0004766366170142157,False,0.0070068135521741265,0.008332292396631682,0.0006627394222287782,False,0.006806423580362686,0.008532682368443123,0.0008631293940402188,False,0.007729287259280682,5.973428487777727e-05,0.006978199817240238,-0.0006913531571626661,0.0077407462522387505,7.119327783584612e-05,0.007146886549890041,-0.000522666424512863,0.008752644993364811,0.0010830920189619066
Validation,10,Validation_0010,0.03479304164648056,0.033912298083305356,0.03372546657919884,-0.0008807435631752042,0.0008807435631752042,5,0.0006515806375641454,0.0002913957196832164,0.03322664648294449,0.03481678292155266,0.0015901364386081696,1.9213697519511697,0.03346552833765313,0.03435906782895758,0.00044676974565222846,False,0.03329108705474935,0.034533509111861364,0.000621211028556006,False,0.0331032538637153,0.03472134230289541,0.0008090442195900561,False,0.03432907909154892,0.00041678100824356357,0.03322664648294449,-0.0006856516003608676,0.03346351534128189,-0.00044878274202346524,0.03372546657919884,-0.00018683150410651883,0.03481678292155266,0.000904484838247302
Validation,11,Validation_0011,0.024942100048065186,0.027433013916015624,0.02736581861972809,0.002490913867950438,0.002490913867950438,5,0.0003935943948204748,0.00017602076447629456,0.027016110718250275,0.027976978570222855,0.00096086785197258,1.4347471846346824,0.02716313777555592,0.02770289005647533,0.00026987614045970637,False,0.027057764614940076,0.02780826321709117,0.0003752493010755485,False,0.02694430192607224,0.027921725905959007,0.0004887119899433827,False,0.0276710856705904,0.00023807175457477708,0.02736581861972809,-6.719529628753523e-05,0.027976978570222855,0.000543964654207231,0.027016110718250275,-0.00041690319776534895,0.027135076001286507,-0.00029793791472911696
Validation,12,Validation_0012,0.016047578305006027,0.020901021361351014,0.020993346348404884,0.004853443056344987,0.004853443056344987,5,0.000244184451440642,0.0001092026064939544,0.020597917959094048,0.021122148260474205,0.0005242303013801575,1.168289564509867,0.020733591239930894,0.021068451482771134,0.00016743012142012077,False,0.020668218135638385,0.021133824587063643,0.00023280322571263035,False,0.020597826319076033,0.021204216403625995,0.000303195042274981,False,0.021122148260474205,0.00022112689912319114,0.020993346348404884,9.232498705387046e-05,0.021106984466314316,0.00020596310496330192,0.020597917959094048,-0.00030310340225696633,0.020684709772467613,-0.00021631158888340066
Validation,13,Validation_0013,0.031793829053640366,0.03198819383978844,0.03204810991883278,0.00019436478614807268,0.00019436478614807268,5,0.0005155074225340361,0.0002305419279383623,0.031153086572885513,0.032477907836437225,0.001324821263551712,1.6115552666584865,0.031634725509439694,0.03234166217013718,0.00035346833034874186,True,0.03149671377159949,0.03247967390797739,0.0004914800681889476,True,0.03134810683242111,0.032628280847155765,0.0006400870073673297,True,0.032332710921764374,0.0003445170819759355,0.032477907836437225,0.0004897139966487871,0.03192915394902229,-5.9039890766145187e-05,0.03204810991883278,5.991607904434065e-05,0.031153086572885513,-0.000835107266902925
Validation,14,Validation_0014,0.036590151488780975,0.03927094340324402,0.03902021422982216,0.002680791914463042,0.002680791914463042,5,0.0005116692667271687,0.00022882545247988412,0.03890161216259003,0.0401093028485775,0.0012076906859874725,1.30292074084704,0.038920106783837484,0.03962178002265055,0.0003508366194065349,False,0.03878312259774504,0.039758764208743,0.0004878208054989823,False,0.038635622095761574,0.03990626471072646,0.0006353213074824458,False,0.038915544748306274,-0.00035539865493774275,0.03890161216259003,-0.0003693312406539903,0.03902021422982216,-0.00025072917342185835,0.03940804302692413,0.00013709962368011613,0.0401093028485775,0.0008383594453334822
Validation,15,Validation_0015,0.04173401743173599,0.03824126496911049,0.03801049664616585,-0.003492752462625502,0.003492752462625502,5,0.0005339521784625416,0.00023879067355526843,0.0377751886844635,0.03902777284383774,0.001252584159374237,1.3962722700042567,0.037875149610228795,0.038607380327992186,0.00036611535888169853,False,0.03773219983908691,0.03875033009913407,0.000509065130023575,False,0.03757827577235108,0.0389042541658699,0.0006629891967594104,False,0.03902777284383774,0.0007865078747272478,0.03801049664616585,-0.0002307683229446425,0.03784477710723877,-0.00039648786187172075,0.0377751886844635,-0.0004660762846469893,0.03854808956384659,0.00030682459473609786
Validation,16,Validation_0016,0.022162731736898422,0.021469100192189217,0.02178019843995571,-0.0006936315447092049,0.0006936315447092049,5,0.000969810011478584,0.00043371222218519304,0.019763581454753876,0.022192753851413727,0.002429172396659851,4.517236413249473,0.020804129891998834,0.0221340704923796,0.0006649703001903843,False,0.020544492185133125,0.02239370819924531,0.0009246080070560934,True,0.02026492201583868,0.022673278368539756,0.0012041781763505394,True,0.019763581454753876,-0.0017055187374353416,0.022192753851413727,0.0007236536592245095,0.0217415913939476,0.000272491201758384,0.021867375820875168,0.00039827562868595054,0.02178019843995571,0.00031109824776649406
Validation,17,Validation_0017,0.0373929925262928,0.035247181355953214,0.03513989597558975,-0.002145811170339587,0.002145811170339587,5,0.00039779584943453296,0.0001778997121005774,0.03490201011300087,0.035879943519830704,0.000977933406829834,1.12858910735949,0.03497442440120733,0.0355199383106991,0.000272756954745885,False,0.03486792642642316,0.035626436285483266,0.000379254929530052,False,0.03475325257107547,0.03574111014083096,0.0004939287848777457,False,0.035879943519830704,0.00063276216387749,0.03490201011300087,-0.000345171242952344,0.03495006263256073,-0.0002971187233924838,0.03513989597558975,-0.00010728538036346158,0.03536399453878403,0.00011681318283081332
Validation,18,Validation_0018,0.017668094485998154,0.017688215151429175,0.01760614849627018,2.0120665431021256e-05,2.0120665431021256e-05,5,0.0004883382152605287,0.0002183914890666935,0.017281940206885338,0.018525999039411545,0.001244058832526207,2.760811145046887,0.017353375950191045,0.018023054352667305,0.00033483920123812954,True,0.017222637957301255,0.018153792345557095,0.000465577194127922,True,0.017081863170593094,0.018294567132265255,0.0006063519808360798,True,0.017415601760149002,-0.00027261339128017287,0.01760614849627018,-8.20666551589952e-05,0.017281940206885338,-0.0004062749445438371,0.018525999039411545,0.0008377838879823699,0.017611386254429817,-7.682889699935774e-05
